City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,aksay,47.26,39.87,34.25,67,100,3.0,RU,1675304432
306,orikhiv,47.5673,35.7858,28.89,91,100,8.01,UA,1675304432
307,mineros,-17.1167,-63.2333,72.75,97,62,3.83,BO,1675304433
308,tay ninh,11.3,106.1,83.35,59,49,5.44,VN,1675304433
309,ilebo,-4.3167,20.5833,69.75,88,95,0.85,CD,1675304433
310,panzhihua,26.5851,101.7128,60.98,41,9,1.23,CN,1675304434
311,korla,41.7597,86.1469,18.79,79,8,2.93,CN,1675304434
312,calama,-22.4667,-68.9333,61.29,59,20,9.22,CL,1675304276
313,hilo,19.7297,-155.09,81.28,82,40,4.61,US,1675304434
314,ostrovnoy,68.0531,39.5131,16.9,92,49,20.47,RU,1675304435
315,kitob,39.0843,66.8332,46.83,90,100,6.98,UZ,1675304435
316,santa rosa,14.3122,121.1114,86.02,70,55,12.71,PH,1675304287
317,dongsheng,39.8161,109.9776,20.1,17,99,4.83,CN,1675304435
318,maniwaki,46.3834,-75.966,14.38,85,73,4.61,CA,1675304247
319,mukhen,48.1,136.1,1.69,79,94,8.63,RU,1675304436
320,aransas pass,27.9095,-97.15,39.97,95,100,11.5,US,1675304436
321,yarada,17.65,83.2667,74.12,58,65,6.91,IN,1675304436
322,kanigoro,-8.13,112.219,77.2,85,100,1.21,ID,1675304437
323,fairview,40.8126,-73.999,33.24,42,0,12.66,US,1675304213
324,barra dos coqueiros,-10.9089,-37.0386,80.62,78,20,9.22,BR,1675304437
325,vad,55.5301,44.2114,22.5,96,100,7.65,RU,1675304358
326,kamenka,51.3223,42.7678,27.97,97,100,6.73,RU,1675304275
327,baykit,61.67,96.37,-2.09,100,100,2.57,RU,1675304411
328,linguere,15.3953,-15.1193,71.49,13,20,9.44,SN,1675304438
329,nizhneangarsk,55.7833,109.55,1.6,93,100,1.21,RU,1675304438
330,cravo norte,6.3017,-70.2041,79.77,37,5,6.04,CO,1675304438
331,kirundo,-2.5833,30.1667,57.92,94,10,2.59,BI,1675304438
332,guerrero negro,27.9769,-114.0611,57.88,58,0,10.27,MX,1675304439
333,key west,24.5557,-81.7826,78.8,84,0,8.05,US,1675304439
334,koson,39.0375,65.585,46.72,92,100,5.93,UZ,1675304439
335,klaksvik,62.2266,-6.589,34.72,63,100,8.61,FO,1675304440
336,tulle,45.3333,1.8333,36.54,82,95,4.0,FR,1675304440
337,mweka,-4.85,21.5667,66.18,96,92,1.61,CD,1675304440
338,talnakh,69.4865,88.3972,7.21,96,100,8.32,RU,1675304441
339,mayfield,36.7417,-88.6367,31.82,76,96,3.94,US,1675304441
340,san miguel,13.4833,-88.1833,82.06,74,0,2.3,SV,1675304441
341,ichinohe,40.2069,141.3017,28.85,73,32,15.9,JP,1675304442
342,mackay,-21.15,149.2,96.67,63,43,3.42,AU,1675304431
343,ilulissat,69.2167,-51.1,14.02,52,75,20.71,GL,1675304442
344,road town,18.4167,-64.6167,77.09,73,0,17.72,VG,1675304442
345,ornskoldsvik,63.2909,18.7153,14.95,92,48,9.22,SE,1675304443
346,komsomolskiy,40.4272,71.7189,30.92,74,100,6.91,UZ,1675304303
